109, 1030, 228, 1030, 228, 1076, 109, 1076
50, 410, 581, 410, 581, 614, 50, 614
103, 1074, 233, 1074, 233, 1131, 103, 1131
241, 1132, 326, 1132, 326, 1170, 241, 1170
710, 362, 1675, 362, 1675, 621, 710, 621
1011, 1066, 1095, 1066, 1095, 1094, 1011, 1094
1029, 1118, 1092, 1118, 1092, 1140, 1029, 1140
1053, 1094, 1092, 1094, 1092, 1116, 1053, 1116
5, 906, 54, 911, 51, 938, 2, 933
211, 664, 1670, 674, 1669, 846, 210, 836
558, 924, 698, 924, 698, 962, 558, 962
1311, 940, 1478, 944, 1477, 980, 1310, 976
