599, 851, 807, 859, 805, 910, 597, 902
937, 811, 1093, 794, 1095, 814, 939, 831
942, 702, 1022, 690, 1025, 711, 945, 723
946, 596, 1137, 551, 1141, 567, 950, 612
952, 491, 1077, 454, 1082, 472, 957, 509
955, 395, 1046, 365, 1050, 378, 959, 408
960, 297, 1186, 198, 1193, 215, 967, 314
965, 203, 1170, 100, 1177, 114, 972, 217
617, 804, 760, 832, 751, 878, 608, 850
944, 765, 1089, 754, 1092, 793, 947, 804
948, 657, 1035, 642, 1042, 683, 955, 698
952, 551, 1086, 520, 1094, 553, 960, 584
956, 450, 1105, 396, 1118, 432, 969, 486
960, 352, 1033, 320, 1048, 354, 975, 386
963, 261, 1136, 183, 1148, 210, 975, 288
968, 174, 1164, 75, 1174, 94, 978, 193
1478, 1016, 1560, 1016, 1560, 1056, 1478, 1056
1630, 236, 1712, 207, 1723, 238, 1641, 267
