700, 813, 1024, 873, 1018, 904, 694, 844
1159, 791, 1474, 1006, 1520, 938, 1205, 723
1155, 870, 1355, 953, 1348, 970, 1148, 887
1206, 734, 1493, 806, 1485, 839, 1198, 767
1458, 948, 1583, 976, 1574, 1016, 1449, 988
1133, 470, 1521, 470, 1521, 680, 1133, 680
1164, 606, 1464, 606, 1464, 701, 1164, 701
743, 500, 1111, 584, 1093, 663, 725, 579
793, 793, 929, 819, 924, 845, 788, 819
1112, 866, 1143, 870, 1140, 892, 1109, 888
1118, 907, 1378, 951, 1374, 974, 1114, 930
1213, 657, 1498, 719, 1485, 779, 1200, 717
1457, 923, 1526, 937, 1522, 959, 1453, 945
